# you can add more from: https://cuaca.bmkg.go.id/api/df/v1/adm/search?keyword=bagan%20jaya
adm1,adm2,adm3,adm4,provinsi,kotkab,kecamatan,desa
31,31.74,31.74.01,31.74.01.1006,DKI Jakarta,Kota Adm. Jakarta Selatan,Jagakarsa,Cipedak
31,31.75,31.75.01,31.75.01.1001,DKI Jakarta,Kota Adm. Jakarta Timur,Matraman,Matraman
31,31.75,31.75.01,31.75.01.1002,DKI Jakarta,Kota Adm. Jakarta Timur,Matraman,Palmeriam
31,31.75,31.75.01,31.75.01.1003,DKI Jakarta,Kota Adm. Jakarta Timur,Matraman,Kebon Manggis
31,31.75,31.75.01,31.75.01.1004,DKI Jakarta,Kota Adm. Jakarta Timur,Matraman,Pegangsaan
31,31.75,31.75.01,31.75.01.1005,DKI Jakarta,Kota Adm. Jakarta Timur,Matraman,Cikini
31,31.75,31.75.01,31.75.01.1006,DKI Jakarta,Kota Adm. Jakarta Timur,Matraman,Utan Kayu Utara
32,32.01,32.01.01,32.01.01.1001,Jawa Barat,Kab. Bogor,Nanggung,Nanggung
32,32.01,32.01.01,32.01.01.1002,Jawa Barat,Kab. Bogor,Nanggung,Parakanmuncang
32,32.01,32.01.01,32.01.01.1003,Jawa Barat,Kab. Bogor,Nanggung,Pangkaljaya
32,32.01,32.01.01,32.01.01.1004,Jawa Barat,Kab. Bogor,Nanggung,Bantarkaret
32,32.01,32.01.01,32.01.01.1005,Jawa Barat,Kab. Bogor,Nanggung,Curugbitung
32,32.01,32.01.01,32.01.01.1006,Jawa Barat,Kab. Bogor,Nanggung,Malasari
32,32.01,32.01.01,32.01.01.1007,Jawa Barat,Kab. Bogor,Nanggung,Cigudeg
